"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"ENTREV";"TAMUNI";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"ECOPER";"ECOESP";"PESPANNA1";"PESPANNA2";"PESPANNA3";"PPERSONAL1";"PPERSONAL2";"PPERSONAL3";"PREFPTE";"INTENCIONG";"INTENCIONGALTER";"SIMPATIA";"PROBVOTO";"ESCIDEOL";"LIDERESCONOCE_1";"LIDERESCONOCE_2";"LIDERESCONOCE_3";"LIDERESCONOCE_4";"VALORALIDERES_1";"VALORALIDERES_2";"VALORALIDERES_3";"VALORALIDERES_4";"CONFIANZAPTE";"CONFIANZAOPOSIC";"CONOMINIS_1";"CONOMINIS_2";"CONOMINIS_3";"CONOMINIS_4";"CONOMINIS_5";"CONOMINIS_6";"CONOMINIS_7";"CONOMINIS_8";"CONOMINIS_9";"CONOMINIS_10";"CONOMINIS_11";"CONOMINIS_12";"CONOMINIS_13";"CONOMINIS_14";"CONOMINIS_15";"CONOMINIS_16";"CONOMINIS_17";"CONOMINIS_18";"CONOMINIS_19";"CONOMINIS_20";"CONOMINIS_21";"CONOMINIS_22";"VALMINIS_1";"VALMINIS_2";"VALMINIS_3";"VALMINIS_4";"VALMINIS_5";"VALMINIS_6";"VALMINIS_7";"VALMINIS_8";"VALMINIS_9";"VALMINIS_10";"VALMINIS_11";"VALMINIS_12";"VALMINIS_13";"VALMINIS_14";"VALMINIS_15";"VALMINIS_16";"VALMINIS_17";"VALMINIS_18";"VALMINIS_19";"VALMINIS_20";"VALMINIS_21";"VALMINIS_22";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_17";"IA_C2B_16";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"INTENCIONGR";"INTENCIONGALTERR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3413;144792;4166;16;48;20;2;0;5;2;1;30;1;2;2;2;13;8;9;8;7;42;2;2;8996;0;10;6;1;1;1;1;1;8;1;5;4;1;1;1;1;1;1;1;1;1;1;7;1;1;7;1;1;7;1;1;1;7;7;7;8;5;1;1;6;1;5;1;1;0;1;3;0;1;1;0;5;5;9;0;0;0;1;2;2;3;10;2;2;2;1;1;5;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";5;7;23;3;12;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;8996;9997;2;2;6;5;2;0,96978;0,95232
3413;143174;4115;16;48;0;3;0;1;2;1;48;1;3;2;1;21;77;99;17;27;20;4;1602;21;0;10;1;1;1;1;1;5;1;6;1;2;4;7;7;1;1;1;1;1;1;1;7;1;1;7;1;1;7;1;1;1;1;7;7;0;0;8;5;2;7;5;10;1;0;7;5;0;10;3;0;5;6;1;8;0;0;2;0;904;3;7;6;0;2;1;1;4;4;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;"";"";5;7;23;3;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1602;21;2;0;9997;5;4;5;1,1291;0,93815
3413;52160;2456;16;48;0;3;0;3;2;1;49;1;3;2;4;46;8;98;8;27;51;98;9998;0;9997;8;3;1;1;1;1;6;4;6;3;3;4;7;7;7;7;7;1;7;1;1;7;1;7;7;1;7;7;7;7;1;7;7;7;0;0;0;0;0;6;0;5;5;0;5;0;0;5;0;0;0;0;5;0;0;0;1;1;1602;3;16;6;0;5;1;2;2;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";3;7;23;1;23;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9998;0;2;1;1;7;2;2;0,95366;0,97293
3413;7935;329;16;48;0;3;0;3;2;2;63;1;2;2;8;51;57;22;58;6;80;98;9998;0;9998;10;3;1;1;1;1;6;1;8;1;2;4;7;7;1;7;1;1;7;1;1;7;1;7;7;1;1;7;7;1;1;7;7;7;0;0;6;0;7;8;0;7;2;0;4;0;0;6;7;0;0;6;4;0;0;0;1;9999;9998;3;9;6;0;3;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;"";"";30;6;23;5;23;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9998;0;1602;9999;9999;6;12;3;0,99936;1,01329
3413;30902;1491;16;48;0;3;0;3;2;2;47;1;2;4;4;8;1;3;8;22;6;1;1;21;0;10;4;1;1;1;1;7;3;9;1;2;4;1;7;7;7;7;1;7;1;1;7;1;7;7;1;1;7;7;7;7;7;7;7;5;0;0;0;0;7;0;7;6;0;5;0;0;1;1;0;0;0;0;0;0;0;1;1;1;3;13;2;3;1;1;1;2;4;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;"";"";3;7;23;1;11;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;21;9997;1;1;6;2;2;0,98539;0,94643
3413;100495;3610;16;48;0;3;0;3;1;2;68;1;2;2;2;52;8;80;54;29;18;1;1601;1602;0;10;5;1;1;1;1;6;4;6;2;2;2;7;1;1;1;1;1;1;1;1;7;1;7;1;1;1;7;1;1;1;7;7;1;0;98;5;5;8;6;98;6;6;0;7;0;99;3;6;0;99;6;98;0;0;99;1;1601;1601;3;14;4;0;1;2;0;0;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;19;0;"";"";4;7;23;2;28;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1601;1602;9998;1601;1601;6;12;2;1,09176;1,05841
3413;29848;1443;16;48;0;3;0;1;2;2;80;1;2;3;2;1;19;55;54;1;14;1;1;9998;0;10;1;1;1;1;1;10;4;6;1;2;4;7;7;7;7;1;1;7;7;1;7;1;7;7;1;7;7;7;1;1;7;1;1;0;0;0;0;5;9;0;0;3;0;6;0;0;8;0;0;0;4;6;0;4;7;1;1601;1602;3;2;2;3;3;2;0;0;5;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"";"";3;7;23;1;15;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;9998;1;1601;1601;2;12;5;2,09818;1,17784
3413;6271;258;16;48;0;3;0;4;2;1;26;1;4;2;4;8;51;98;49;8;98;3;8996;0;9997;0;7;1;7;1;1;2;0;5;7;4;0;7;7;7;7;7;1;7;7;7;7;7;7;7;1;7;7;7;7;7;7;7;7;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;3;3;10;6;0;2;4;0;0;6;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;4;1;"";"";30;6;23;5;14;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;8996;0;1601;0;9997;6;16;2;0,97067;0,81365
3413;28628;1382;16;48;0;3;0;4;2;2;42;1;4;2;4;8;18;7;8;97;99;1;1601;1;0;10;4;1;1;1;1;7;2;6;1;2;3;7;7;1;7;1;1;7;7;1;7;1;7;7;1;7;7;7;7;1;7;7;7;0;0;7;0;6;6;0;0;4;0;4;0;0;6;0;0;0;0;5;0;0;0;1;1601;1601;3;14;6;0;2;1;1;2;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;"";"";1;7;23;6;10;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1601;1;1;1601;1601;6;2;2;1,01192;0,71656
3413;30949;1495;16;48;0;3;0;4;1;2;75;1;1;2;2;13;1;6;29;97;99;1;1;9997;0;10;4;1;1;1;1;9;5;7;2;2;3;7;1;1;1;1;1;1;1;1;1;1;7;1;1;1;7;7;1;1;7;7;7;0;6;6;8;10;8;6;6;9;6;8;0;6;8;7;0;0;7;9;0;0;0;1;1;1;3;6;1;5;1;7;0;0;5;12;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;16;0;0;0;0;8;0;"";"";3;7;23;1;18;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;9997;8996;1;1;4;14;5;1,68301;0,98922
